episode,Reward,step_count,goal_log
852,-65.90535584001947,0,198
853,-6.760987858934978,0,198
854,-32.0852692602967,0,198
855,-10.169654589740514,0,198
856,-123.06897551677244,0,198
857,-136.57860556756754,0,198
858,-48.845018329521444,0,198
859,-21.610786094797852,0,198
860,421.68473882824276,0,198
861,-47.34796398845615,0,198
862,307.23901238964,0,198
863,-31.810937627222682,0,198
864,-416.2932901217065,0,198
865,-291.621142534585,0,198
866,-61.744929338449516,0,198
867,46.638983329590275,0,198
868,-34.92832433474678,0,198
869,-28.06786160869501,0,198
870,-63.940364775421855,0,198
871,505.77999948562854,0,199
872,-24.55809325994519,0,199
873,-40.243854469606035,0,199
874,-2.8108276613635077,0,199
875,-47.53805850921398,0,199
876,478.2208906780117,0,200
877,2.7631919294164007,0,200
878,389.2213673477708,0,200
879,503.68775682499637,0,201
880,-40.01576240682476,0,201
881,503.7565408209813,0,202
882,-20.17087655891348,0,202
883,511.2575716708979,0,203
884,-24.19700668620947,0,203
885,-26.104853376830633,0,203
886,501.6435450610493,0,204
887,203.80653433903123,0,204
888,-78.5599561277871,0,204
889,98.98376405566565,0,204
890,503.27157328439387,0,205
891,-89.25611507581169,0,205
892,-50.267484902783906,0,205
893,-35.02065643416044,0,205
894,505.39043749113785,0,206
895,176.74218840543023,0,206
896,-95.44633644611224,0,206
897,-70.99290530419766,0,206
898,-268.050025355556,0,206
899,-432.48410652304835,0,206
900,-71.9899897258838,0,206
901,472.9959571291022,0,207
902,510.75351328055297,0,208
903,511.6733435790115,0,209
904,511.4660734970121,0,210
905,507.72819980856303,0,211
906,497.0009750407514,0,212
907,259.65765186348403,0,212
908,71.26240760275427,0,212
909,-45.02768733324358,0,212
910,-32.46544953985851,0,212
911,741.57601695267,0,213
912,503.49128811076787,0,214
913,519.423369116357,0,215
914,-36.08669161790478,0,215
915,508.9516480596834,0,216
916,217.10925187515625,0,216
917,-58.67472570982221,0,216
918,-32.431579261260566,0,216
919,-107.4029918227709,0,216
920,51.66001312750152,0,216
921,-32.40610561207592,0,216
922,292.2961865915195,0,216
923,505.7200711994139,0,217
924,335.7678013432844,0,217
925,-44.158343571965844,0,217
926,29.630540919957376,0,217
927,-43.720283099841446,0,217
928,-43.547742644290416,0,217
929,-44.801344427609834,0,217
930,-174.14142796348065,0,217
931,-54.52370729749711,0,217
932,503.69017177085976,0,218
933,-0.509332785378728,0,218
934,503.77406248169837,0,219
935,340.4589563444186,0,219
936,-74.07137779493766,0,219
937,495.8965755318295,0,220
938,-89.58860524817405,0,220
939,-267.4536512209579,0,220
940,-169.15855102602873,0,220
941,-228.17417193971755,0,220
942,-122.83941526581941,0,220
943,-106.7063597997359,0,220
944,-55.73206375219148,0,220
945,-71.40045828148452,0,220
